timestamp,page_id,position,card_id_predicted,card_name,confidence,method,ocr_name,ocr_conf,variant_detected,variant_correct,is_correct
2026-04-06T19:53:02+00:00,page_20260307_120653_cards,0,base3-54/normal,Shellder,0.9703,v2_single_candidate,Shellder,0.9703,normal,,True
2026-04-06T19:53:03+00:00,page_20260307_120653_cards,1,base3-32/normal,Cloyster,0.9806,v2_single_candidate,Cloyster,0.9806,normal,,True
2026-04-06T19:53:04+00:00,page_20260307_120653_cards,2,neo3-50/normal,Remoraid,0.9746,v2_ref_match,Remoraid,0.9746,normal,,True
2026-04-06T19:53:04+00:00,page_20260307_120653_cards,3,base3-56/normal,Tentacool,0.9815,v2_ref_match,Tentacool,0.9815,normal,,True
2026-04-06T19:53:05+00:00,page_20260307_120653_cards,4,base3-44/normal,Tentacruel,0.9831,v2_ref_match,Tentacruel,0.9831,normal,,True
2026-04-06T19:53:06+00:00,page_20260307_120653_cards,5,neo3-34/normal,Octillery,0.9706,v2_ref_match,Octillery,0.9706,normal,,True
2026-04-06T19:53:07+00:00,page_20260307_120653_cards,6,base3-49/normal,Horsea,0.978,v2_ref_match,Horsea,0.978,normal,,True
2026-04-06T19:53:08+00:00,page_20260307_120653_cards,7,neo1-48/normal,Seadra,0.958,v2_ref_match,Seadra,0.958,normal,,True
2026-04-06T19:53:09+00:00,page_20260307_120653_cards,8,neo1-8/normal,Kingdra,0.9724,v2_ref_match,Kingdra,0.9724,normal,,False
2026-04-06T19:53:10+00:00,page_20260307_123235_cards,0,base1-35/normal,Magikarp,0.9546,v2_ref_match,Magikarp,0.9546,normal,,True
2026-04-06T19:53:11+00:00,page_20260307_123235_cards,1,base4-7/normal,Gyarados,0.9709,v2_ref_match,Gyarados,0.9709,normal,,True
2026-04-06T19:53:14+00:00,page_20260307_123235_cards,2,base3-17/normal,Articuno,0.8907,v2_ref_match,Articuno,0.8907,normal,,True
2026-04-06T19:53:15+00:00,page_20260307_123235_cards,3,base3-51/normal,Krabby,0.9104,v2_ref_match,Krabby,0.9104,normal,,True
2026-04-06T19:53:16+00:00,page_20260307_123235_cards,4,base3-38/normal,Kingler,0.9711,v2_single_candidate,Kingler,0.9711,normal,,True
2026-04-06T19:53:17+00:00,page_20260307_123235_cards,5,base6-43/normal,Golduck,0.9231,v2_ref_match,Golduck,0.9231,normal,,False
2026-04-06T19:53:18+00:00,page_20260307_123235_cards,6,base1-65/normal,Staryu,0.975,v2_ref_match,Staryu,0.975,normal,,True
2026-04-06T19:53:19+00:00,page_20260307_123235_cards,7,base4-94/normal,Starmie,0.9781,v2_ref_match,Starmie,0.9781,normal,,False
2026-04-06T19:53:21+00:00,page_20260307_123235_cards,8,base2-28/normal,Vaporeon,0.9774,v2_ref_match,Vaporeon,0.9774,normal,,False
2026-04-06T19:53:21+00:00,page_20260307_123427_cards,0,ecard3-116/normal,Yanma,0.8764,v2_ref_match,Yanma,0.8764,normal,,True
2026-04-06T19:53:22+00:00,page_20260307_123427_cards,1,ecard3-86/normal,Pineco,0.8836,v2_ref_match,Pineco,0.8836,normal,,True
2026-04-06T19:53:23+00:00,page_20260307_123427_cards,2,ex12-66/normal,Tentacool,0.9601,v2_ref_match,Tentacool,0.9601,normal,,True
2026-04-06T19:53:24+00:00,page_20260307_123427_cards,3,ecard1-107/normal,Dratini,0.9607,v2_ref_match,Dratini,0.9607,normal,,True
2026-04-06T19:53:26+00:00,page_20260307_123427_cards,4,ecard2-98/normal,Onix,0.8966,v2_ref_match,Onix,0.8966,normal,,True
2026-04-06T19:53:27+00:00,page_20260307_123427_cards,5,ecard3-79/normal,Murkrow,0.9737,v2_ref_match,Murkrow,0.9737,normal,,True
2026-04-06T19:53:33+00:00,page_20260307_123427_cards,6,ex2-65/normal,,0.8034598159790038,v2_attack_fallback,,,normal,,True
2026-04-06T19:53:34+00:00,page_20260307_123427_cards,7,ex2-15/normal,Arcanine,0.9696,v2_ref_match,Arcanine,0.9696,normal,,True
2026-04-06T19:53:35+00:00,page_20260307_123427_cards,8,ex3-34/normal,Houndoom,0.9729,v2_ref_match,Houndoom,0.9729,normal,,True
2026-04-06T19:53:36+00:00,page_20260307_132359_cards,0,dpp-DP09/normal,Torterra,0.8607,v2_ref_match,Torterra,0.8607,normal,,True
2026-04-06T19:53:38+00:00,page_20260307_132359_cards,1,dp2-121/normal,Electivire,0.8876,v2_ref_match,Electivire,0.8876,normal,,True
2026-04-06T19:53:39+00:00,page_20260307_132359_cards,2,dpp-DP29/normal,Rhyperior,0.8753,v2_ref_match,Rhyperior,0.8753,normal,,True
2026-04-06T19:53:40+00:00,page_20260307_132359_cards,3,dp4-104/normal,Darkrai,0.8472,v2_ref_match,Darkrai,0.8472,normal,,True
2026-04-06T19:53:41+00:00,page_20260307_132359_cards,4,pl1-124/normal,Giratina LV.X,0.8884,v2_ref_match,Giratina LV.X,0.8884,normal,,True
